ID;Name;Energie, Kalorien (kcal);Fett, total (g);Kohlenhydrate, verfügbar (g);Protein (g);Bezugseinheit;Kategorie;Dichte;gesättigte Fettsäuren;Zucker;NutriScore-Wert
138;Mayonnaise;742;81,7;0,5;1,1;pro 100g essbarer Anteil;Fette und Öle/Mayonnaisen;0,9;5,3;1,5;14
139;Mehl (Durchschnitt);343;1,4;67,8;12,4;pro 100g essbarer Anteil;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;;0,3;0,4;-5
140;Milch (Durchschnitt);59;2,9;4,8;3,2;pro 100 ml;Milch und Milchprodukte/Milch;1;;;
141;Milchschokolade;537;31,1;56,9;6,5;pro 100g essbarer Anteil;Süssigkeiten/Schokolade und Kakaoerzeugnisse;;;;
142;Milchschokolade mit Nüssen;570;38,2;46,1;8,8;pro 100g essbarer Anteil;Süssigkeiten/Schokolade und Kakaoerzeugnisse;;;;
143;Mineralwasser Vittel;0;0;0;0;pro 100 ml;Alkoholfreie Getränke/Mineralwasser;1;;;
144;Mineralwasser Volvic;0;0;0;0;pro 100 ml;Alkoholfreie Getränke/Mineralwasser;1;;;
145;Mortadella;314;27,3;0,8;16,1;pro 100g essbarer Anteil;Fleisch- und Wurstwaren/Brühwurstware;;;;
146;Mozzarella;256;19,5;0,7;19,5;pro 100g essbarer Anteil;Milch und Milchprodukte/Weichkäse/Milch und Milchprodukte/Frischkäse und Quark;;;;
147;Müeslimischung, Getreideflocken mit Früchten und Nüssen, gezuckert ;365;5,6;62,2;11,4;pro 100g essbarer Anteil;Brote, Flocken und Frühstückscerealien/Müeslimischungen und Frühstückscerealien;;;;
148;Nasi Goreng, zubereitet;125;1,8;16,1;10,8;pro 100g essbarer Anteil;Gerichte/Asiatische Gerichte;;;;
149;Nektarine, roh;55;0,3;11,3;1;pro 100g essbarer Anteil;Früchte/Früchte frisch;;;;
150;Nudeln, gekocht;159;3,6;26,4;4,8;pro 100g essbarer Anteil;Getreideprodukte;;0,2;0,6;-3
151;Nutella;545;31,8;56,8;6,6;pro 100g essbarer Anteil;Süssigkeiten/Cremen und Pudding;;10,7;55,9;23
152;Ofen-Pommes, tiefgekühlt;127;5;18,1;1,8;pro 100g essbarer Anteil;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;;;;
153;Olive, schwarz;176;17,2;0,8;1,4;pro 100g essbarer Anteil;Nüsse, Samen und Ölfrüchte;;;;
154;Olivenöl;810;90;0;0;pro 100 ml;Fette und Öle/Öle;0,9;10,7;0;6
155;Orange, roh;45;0,2;8;0,8;pro 100g essbarer Anteil;Früchte/Früchte frisch;;0;7,6;-6
156;Orangensaft;44;0,1;10;0,6;pro 100 ml;Früchte/Fruchtsäfte/Alkoholfreie Getränke/Frucht- und Gemüsesäfte;1,04;0,1;10;14
157;Paprika;20;0,2;4,6;0,9;pro 100g essbarer Anteil;Gemüse;;0;5;-5
